Cúcuta,File:Flag_of_Cúcuta.svg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Flag_of_C%C3%BAcuta.svg,Cúcuta.svg,downloaded,
Cucutilla,File:Flag_of_Cucutilla_(Norte_de_Santander).svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Cucutilla_%28Norte_de_Santander%29.svg,Cucutilla.svg,downloaded,
Cuítiva,File:Flag_of_Cuítiva.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Cu%C3%ADtiva.svg,Cuítiva.svg,downloaded,
Cumaral,File:Flag_of_Cumaral_(Meta).svg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cumaral_%28Meta%29.svg,Cumaral.svg,downloaded,
Cumaribo,File:Flag_of_Cumaribo_(Vichada).svg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Cumaribo_%28Vichada%29.svg,Cumaribo.svg,downloaded,
Vichada,File:Flag_of_Vichada.svg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Vichada.svg,Vichada.svg,downloaded,
Cumbal (Nariño),File:Flag_of_Cumbal_(Nariño).svg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Cumbal_%28Nari%C3%B1o%29.svg,Cumbal (Nariño).svg,downloaded,
Cumbitara,File:Flag_of_Cumbitara_(Nariño).svg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_Cumbitara_%28Nari%C3%B1o%29.svg,Cumbitara.svg,downloaded,
Cunday,File:Flag_of_Cunday.svg,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Cunday.svg,Cunday.svg,downloaded,
Curillo,File:Flag_of_Curillo_(Caquetá).svg,https://upload.wikimedia.org/wikipedia/commons/8/86/Flag_of_Curillo_%28Caquet%C3%A1%29.svg,Curillo.svg,downloaded,
Curití,File:Flag_of_Curití_(Santander).svg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Curit%C3%AD_%28Santander%29.svg,Curití.svg,downloaded,
